master_id,who,Cohort,Cohort_Var_Name,full participant question,Cohort_Var_Description,Consensus Category,Test Categories
209,,ELSA,heslpa,How often do you have difficulty falling asleep?,sleep: how often respondent has difficulty falling asleep,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
265,,ELSA,shwake4,NA,alice vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
298,,ELSA,shwake2,NA,carol vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
307,,ELSA,pscedc,"(Much of the time during the past week), your sleep was restless?",whether felt their sleep was restless during past week,['Sleep Difficulty'],['No Specific Test']
309,,ELSA,r7sleepr,NA,"r7sleepr:w7 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
310,,ELSA,s7sleepr,NA,"s7sleepr:w7 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
311,,ELSA,r1sleepr,NA,"r1sleepr:w1 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
312,,ELSA,r2sleepr,NA,"r2sleepr:w2 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
313,,ELSA,r3sleepr,NA,"r3sleepr:w3 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
314,,ELSA,s1sleepr,NA,"s1sleepr:w1 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
315,,ELSA,s2sleepr,NA,"s2sleepr:w2 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
316,,ELSA,s3sleepr,NA,"s3sleepr:w3 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
318,,ELSA,r4sleepr,NA,"r4sleepr:w4 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
319,,ELSA,s4sleepr,NA,"s4sleepr:w4 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
320,,ELSA,r5sleepr,NA,"r5sleepr:w5 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
321,,ELSA,s5sleepr,NA,"s5sleepr:w5 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
323,,ELSA,r6sleepr,NA,"r6sleepr:w6 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
324,,ELSA,s6sleepr,NA,"s6sleepr:w6 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
335,,ELSA,shwake3,NA,margaret vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
336,,ELSA,pscedc,"(Much of the time during the past week), your sleep was restless?","much of the time during the past week, has your sleep been restless?",['Sleep Difficulty'],['No Specific Test']
345,,ELSA,PScedC,"(Much of the time during the past week), your sleep was restless?",whether respondent felt their sleep was restless during the past week,['Sleep Difficulty'],['No Specific Test']
491,,ELSA,ghqsleep,NA,lost sleep over worry,['Mental Health and Sleep'],['GHQ']
548,,ELSA,ghqsleep,NA,ghq: lost sleep over worry,['Mental Health and Sleep'],['GHQ']
634,,ELSA,scghqb,NA,have you recently lost much sleep over worry?,['Mental Health and Sleep'],['GHQ']
114,,ELSA,heslpc,How often in the past month did you have trouble staying asleep (including waking far too early)?,sleep: no. days trouble staying asleep in last month,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
301,,ELSA,nohtbc10,NA,no height: child asleep,['Uncategorized'],['No Specific Test']
303,,ELSA,nowtbc11,NA,no weight: child asleep,['Uncategorized'],['No Specific Test']
403,,ELSA,heslpe,sleep: number of hours on average week night,sleep: number of hours on average week night,['Sleep Duration'],['No Specific Test']
418,,ELSA,sctsyh,NA,what time did you go to sleep yesteday? hours,['Sleep Onset'],['No Specific Test']
494,,ELSA,slesk,NA,sleep been disturbed by itching or scratching,['Sleep Difficulty'],['No Specific Test']
516,,ELSA,heslpb,How often do you wake up several times in the night?,sleep: frequency wake up several times at night,['Sleep Latency and Waking'],['No Specific Test']
530,,ELSA,sctsyh,NA,time respondent went to sleep yesterday (hours),['Sleep Onset'],['No Specific Test']
592,,ELSA,sctsyp,NA,what time did you go to sleep yesteday? am or pm,['Sleep Onset'],['No Specific Test']
597,,ELSA,sctsym,NA,time respondent went to sleep yesterday (minutes),['Sleep Onset'],['No Specific Test']
616,,ELSA,sctsym,NA,what time did you go to sleep yesteday? minutes,['Sleep Onset'],['No Specific Test']
622,,ELSA,heslpd,How often do you wake up after your usual amount of sleep feeling tired and worn out?, sleep: frequency wake up feeling tired & worn out,"['Daytime Sleepiness', 'Sleep Latency and Waking', 'Sleep Quality']",['No Specific Test']
621,,ELSA,heslpd,How often do you wake up after your usual amount of sleep feeling tired and worn out?,sleep: frequency wake up feeling tired & worn out,"['Daytime Sleepiness', 'Sleep Latency and Waking', 'Sleep Quality']",['No Specific Test']
657,,ELSA,heslpx,How often do you doze off or take a nap during the morning or afternoon?,sleep: frequency doze off/nap in morning or afternoon,['Daytime Sleepiness'],['No Specific Test']
659,,ELSA,cortcar,NA,cortisol awakening response (only if interval le 45 min),['Uncategorized'],['No Specific Test']
667,,ELSA,sctsyp,NA,time respondent went to sleep yesterday (am/pm),['Sleep Duration'],['No Specific Test']
671,,ELSA,q20m,NA,how frequently did you wake up with a full erection during the past month?,['Physical Health and Sleep'],['No Specific Test']
677,,ELSA,scsytime,NA,derived: time respondent went to sleep yesterday - 24 hour clock,['Sleep Onset'],['No Specific Test']
738,,ELSA,sctwum,NA,what time did you wake up yesterday? minutes,['Sleep Latency and Waking'],['No Specific Test']
739,,ELSA,sctwuh,NA,what time did you wake up yesterday? hours,['Sleep Latency and Waking'],['No Specific Test']
740,,ELSA,sctwap,NA,what time did you wake up yesterday? am or pm,['Sleep Latency and Waking'],['No Specific Test']
354,,EPIC,SLEEP_TIME_FU2,NA,"on average, how many hours do you sleep in a 24 hour period? (fu2)",['Sleep Duration'],['No Specific Test']
355,,EPIC,SLEEP_TIME_FU3,NA,"on average, how many hours do you sleep in a 24 hour period? (fu3)",['Sleep Duration'],['No Specific Test']
410,,EPIC,SLEEP_PROBS_FU3,*,symptoms at the time of menopause: difficulty in sleeping (women only) (fu3),['Sleep Difficulty'],['No Specific Test']
449,,EPIC,DURSLEEPWKEND_3HC,NA,duration of sleeping on weekend (epaq 3hc),['Sleep Duration'],['No Specific Test']
456,,EPIC,DURSLEEPWKEND_2HC,NA,duration of sleeping on weekend (epaq 2hc),['Sleep Duration'],['No Specific Test']
511,,EPIC,INSOMNIA_FU2,NA,insomnia requiring treatment (fu2),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
524,,EPIC,INSOMNIA_FU3,NA,other: insomnia requiring treatment (fu3),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
576,,EPIC,INSOMNIA_YEAR_FU2,NA,insomnia requiring treatment: first date (year) (fu2),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
629,,EPIC,INSOMNIA_1HC,NA,self reported insomnia requiring treatment (1hc hlqs),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
712,,EPIC,INSOMNIA_AGE_1HC,NA,self-reported age first diagnosed for insomnia (requiring treatment)(1hc hlqs),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
341,,EPIC,SAD_SLEEP_FU4,NA,"during the time when you felt sad or depressed for at least 2 weeks, did you: have more trouble falling asleep than you usually do, or sleeping too much? (fu4)","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
423,,EPIC,DURSLEEP_2HC,NA,duration of sleeping: wkendsleep*2 wkdaysleep*5; (epaq 2hc),['Sleep Duration'],['No Specific Test']
433,,EPIC,DURSLEEPWKDAY_3HC,NA,duration of sleeping on weekday (epaq 3hc),['Sleep Duration'],['No Specific Test']
441,,EPIC,DURSLEEPWKDAY_2HC,NA,duration of sleeping on weekday (epaq 2hc),['Sleep Duration'],['No Specific Test']
493,,EPIC,SLEEP_WELL_FU2,NA,do you generally sleep well? (fu2),['Sleep Quality'],['No Specific Test']
496,,EPIC,SLEEP_WELL_FU3,NA,do you generally sleep well? (fu3),['Sleep Quality'],['No Specific Test']
558,,EPIC,NAP_FU2,NA,do you normally take a nap during the day? (fu2),['Daytime Sleepiness'],['No Specific Test']
561,,EPIC,NAP_FU3,NA,do you normally take a nap during the day? (fu3),['Daytime Sleepiness'],['No Specific Test']
631,,EPIC,SLEEPTIME_HLEQ2,NA,minutes sleep per night on average (derived from question a5e ) (hleq2),['Sleep Duration'],['No Specific Test']
650,,EPIC,DURSLEEP_3HC,NA,duration of sleep after assigning median to extreme values(epaq2_3hc),['Sleep Duration'],['No Specific Test']
160,,GS:SFHS,b2,NA,had difficulty in staying asleep once you are off?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
517,,GS:SFHS,b1,NA,lost much sleep over worry?,['Mental Health and Sleep'],['No Specific Test']
406,,GS:SFHS,mdqa4,NA,...you got much less sleep than usual and found you didnt really miss it?,['Uncategorized'],['No Specific Test']
253,BJD,ICICLE,PSQI_Global,NA,pittsberg sleep quality index total,['Sleep Quality'],['PSQI']
364,BJD,ICICLE,Nocturia,"Intense, vivid dreams or frightening dreams","nms-quest 0=symptom absent, 1=symptom present",['Sleep Disorders'],['No Specific Test']
573,BJD,ICICLE,Nocturia Duration,NA,nms-quest symptom duration in months,['Sleep Disorders'],['No Specific Test']
627,BJD,ICICLE,EPWORTH_SS_total,NA,epworth sleepiness scale total,['Daytime Sleepiness'],['Epworth Sleepiness Scale']
1,U,MRC,sleepu1_v2,,sleep,['Uncategorized'],['No Specific Test']
33,U,MRC,psqi14x,,pittsburgh sleep quality index (psqi): total score,['Sleep Quality'],['PSQI']
89,U,MRC,psqihse14x,,psqi: sleep efficiency,['Sleep Quality'],['PSQI']
109,U,MRC,pssle89,,over the last year have you had trouble getting off to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
117,U,MRC,pse3582,,trouble getting off to sleep in past month,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
118,U,MRC,slcna,,trouble with sleep,['Sleep Difficulty'],['No Specific Test']
121,U,MRC,psqidistb14x,,psqi: sleep disturbance,"['Sleep Quality', 'Sleep Difficulty']",['PSQI']
204,U,MRC,hrssle14x,,"during the past month, how many hours of actual sleep did you get at night?",['Sleep Duration'],['No Specific Test']
205,U,MRC,ktwsl62,,kind of trouble with sleep,['Sleep Difficulty'],['No Specific Test']
210,U,MRC,slcta,,type of trouble with sleep,['Sleep Difficulty'],['No Specific Test']
247,U,MRC,psqislpqual14x,,psqi: overall sleep quality,['Sleep Quality'],['PSQI']
263,U,MRC,slmedi14x,,"during the past month, how often have you taken medicine to help you sleep?",['Sleep Medications and Aids'],['No Specific Test']
264,U,MRC,psqidurat14x,,psqi: sleep duration,['Sleep Duration'],['PSQI']
302,U,MRC,slqual14x,,"during the past month, how would you rate your sleep quality overall?",['Sleep Quality'],['No Specific Test']
419,U,MRC,slcn,,number of sleep complaints,['Sleep Difficulty'],['No Specific Test']
542,U,MRC,psqimeds14x,,psqi: needs medications to sleep,['Sleep Medications and Aids'],['PSQI']
581,U,MRC,ghq0809,,ghq: lost much sleep over worry,['Mental Health and Sleep'],['GHQ']
635,U,MRC,ghq0899,,have you recently lost much sleep over worry?,['Mental Health and Sleep'],['GHQ']
334,U,MRC,psqilaten14x,,psqi: sleep latency,['Sleep Latency and Waking'],['PSQI']
343,U,MRC,sprob77,,"types of trouble with sleep. if 2 types noted, code both, eg trouble 1 'difficulty getting to sleep' and 2 'waking up in the night' = 12","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
391,U,MRC,slct,,type of sleep complaints,['Sleep Difficulty'],['No Specific Test']
413,U,MRC,nig5657,,nightmares or disturbed sleep during past year (asked at 11 years),"['Sleep Difficulty', 'Dreams']",['No Specific Test']
420,U,MRC,pswak89,,over the last year have you had trouble with waking up and not being able to get back to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
427,U,MRC,sldurat14x,,derived sleep duration [difference between sleep and wake times] (hours),['Sleep Duration'],['No Specific Test']
531,U,MRC,actstshr0610,,sleep hr (beats/min) [value used for step test analysis],['Physical Health and Sleep'],['No Specific Test']
547,U,MRC,sla6,,does child sleep in room alone or with others?,['Sleep Environment'],['No Specific Test']
555,U,MRC,bedw71,,in the winter do you usually sleep with your bedroom windows open?,['Sleep Environment'],['No Specific Test']
559,U,MRC,mp19,,i often have ideas running through my head so that i cannot sleep,['Mental Health and Sleep'],['No Specific Test']
583,U,MRC,nig5152,,nightmares or disturbed sleep during past year (asked at 6 years) number of times any member of household has gone to child,"['Sleep Difficulty', 'Dreams', 'Sleep Environment']",['No Specific Test']
633,U,MRC,sla4,,does child sleep in room by himself or with others?,['Sleep Environment'],['No Specific Test']
638,U,MRC,actshr0610,,sleep hr (beats/min),['Physical Health and Sleep'],['No Specific Test']
672,U,MRC,ktws62,,kind of trouble with sleep (summary code) - values 26-56 are all multiple punched but exact responses not known,['Sleep Difficulty'],['No Specific Test']
715,U,MRC,cw1_ghq122,,post-c19: ghq12- whether lost much sleep over worry,['Mental Health and Sleep'],['GHQ']
8,,NICOLA,CESDQ11,NA,my sleep was restless,['Sleep Difficulty'],['CESD']
36,,NICOLA,Q83m,NA,trouble falling or staying asleep,['Sleep Latency and Waking'],['No Specific Test']
445,,NICOLA,BH203f_hours,NA,bh203f_hours - amount of sleep - hours :,['Sleep Duration'],['No Specific Test']
512,,NICOLA,TotalMinutesSleepDaily,NA,total minutes sleep daily,['Sleep Duration'],['No Specific Test']
518,,NICOLA,Q25,NA,lost much sleep over worry,['Mental Health and Sleep'],['No Specific Test']
344,,NICOLA,Q54,NA,"in the last 30 days, how much difficulty have you had with sleeping, such as falling asleep, waking up frequently during the night or waking up too early in the morning","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
457,,NICOLA,BH203e,NA,bh203e - do you take any medication (over the counter or prescribed) to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
508,,NICOLA,BH203c,NA,bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
578,,NICOLA,BH203d,NA,bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?,"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
588,,NICOLA,bh201,NA,bh201 - how likely are you to doze off or fall asleep during the day?,['Daytime Sleepiness'],['No Specific Test']
589,,NICOLA,bh203,NA,bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
611,,NICOLA,BH203f_minutes,NA,bh203f_minutes - amount of sleep - minutes :,['Sleep Duration'],['No Specific Test']
632,,NICOLA,PH308,NA,ph308 - does your arthritis make it difficult for you to sleep at night?,['Physical Health and Sleep'],['No Specific Test']
742,,NICOLA,BH203b,NA,bh203b - how often in the past month did you wake up several times per night?,"['Sleep Duration', 'Sleep Latency and Waking']",['No Specific Test']
63,,NIMROD,Disturbed sleep,Sleep is disturbed at night.,disturbed sleep,['Sleep Difficulty'],['No Specific Test']
81,,NIMROD,Day sleep,Sleeps more by day than before (cat naps etc.),day sleep,['Daytime Sleepiness'],['No Specific Test']
587,,SMC,X17SleepDis,NA,x17sleepdis,['Uncategorized'],['No Specific Test']
159,,Whitehall,ZSYMP11,NA,q17k difficulty sleeping last 14 days? (s2),['Sleep Difficulty'],['No Specific Test']
161,,Whitehall,SYMP11,NA,q19k difficulty sleeping in last 14 days (s1),['Sleep Difficulty'],['No Specific Test']
163,,Whitehall,XSYMP11,NA,q15k difficulty sleeping in last 14 dys? (s3),['Sleep Difficulty'],['No Specific Test']
164,,Whitehall,MSYMP11,NA,q74k difficulty sleeping in last 2 wks (s7),['Sleep Difficulty'],['No Specific Test']
267,,Whitehall,MSYMSLP,NA,q79d do you experience sleep disturbance (s7),['Sleep Difficulty'],['No Specific Test']
268,,Whitehall,KSLPDIST,NA,q73e last mth- disturbed sleep (s8),['Sleep Difficulty'],['No Specific Test']
269,,Whitehall,MSLPDIST,NA,q73e disturbed/restless sleep in last 4 wks (s7),['Sleep Difficulty'],['No Specific Test']
306,,Whitehall,MSLPFALL,NA,q73a trouble falling asleep in last 4 wks (s7),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
317,,Whitehall,KSLPFALL,NA,q73a last mth- trouble falling asleep (s,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
326,,Whitehall,JSLPFALL,NA,q56a last mth- trouble falling asleep (s,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
346,,Whitehall,TSLPFALL,NA,q2.64a trouble falling asleep (s5),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
425,,Whitehall,JSLBRPAU,NA,q61 breathing pauses during sleep (s9),['Sleep Disorders'],['No Specific Test']
437,,Whitehall,XWKSLEEP,how many hours sleep do you have on an average week night?,q73c hours/day sleep (s3),['Sleep Duration'],['No Specific Test']
503,,Whitehall,ZGHQ02,NA,q54 recent lost much sleep? (s2),['Sleep Difficulty'],['GHQ']
513,,Whitehall,JGHQ02,NA,q25 lost sleep by worry (s9),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
525,,Whitehall,KGHQ02,NA,q42 lost sleep by worry (s8),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
528,,Whitehall,KSLEEP,how many hours sleep do you have on an average week night?,q72 hours sleep on avg wk-night (s8),['Sleep Duration'],['No Specific Test']
538,,Whitehall,JSLEEP,how many hours sleep do you have on an average week night?,q55 hours sleep on avg wk-night (s9),['Sleep Duration'],['No Specific Test']
549,,Whitehall,FGHQ02,NA,q23 lost sleep by worry (s11),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
551,,Whitehall,DGHQ02,NA,q23 lost sleep by worry (s12),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
550,,Whitehall,DSLEEP,NA,q56 hours sleep on avg wk-night (s12),['Sleep Duration'],['No Specific Test']
560,,Whitehall,FSLEEP,NA,q55 hours sleep on avg wk-night (s11),['Sleep Duration'],['No Specific Test']
577,,Whitehall,GHQ02,NA,q81 recently lost much sleep (s1),['Sleep Difficulty'],['GHQ']
582,,Whitehall,XGHQ02,NA,q88 recently lost much sleep? (s3),['Sleep Difficulty'],['GHQ']
595,,Whitehall,QGHQ02,NA,q23 recently lost sleep by worry (s6),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
636,,Whitehall,MGHQ02,NA,q42 recently lost sleep due to worry (s7),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
658,,Whitehall,TGHQ02,NA,q2.34 recently lost sleep by worry (s5),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
299,,Whitehall,JSLPDIST,NA,q56e last mth- disturbed sleep (s9),['Sleep Difficulty'],['No Specific Test']
325,,Whitehall,FSLPDIST,NA,q56e last mth- disturbed sleep (s11),['Sleep Difficulty'],['No Specific Test']
327,,Whitehall,DSLPDIST,NA,q57e last mth- disturbed sleep (s12),['Sleep Difficulty'],['No Specific Test']
337,,Whitehall,VSYMSLP,NA,q26d suffer menop sleep disturbance? (s4),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
339,,Whitehall,DSLPFALL,NA,q57a last mth- trouble falling asleep (s12),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
340,,Whitehall,XSYMSLP,NA,q29d suffer menop sleep disturbance? (s3),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
342,,Whitehall,FSLPFALL,NA,q56a last mth- trouble falling asleep (s11),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
396,,Whitehall,SLEEP,how many hours sleep do you have on an average week night?,q31 hours of sleep on average week night (s1),['Sleep Duration'],['No Specific Test']
407,,Whitehall,MSLPSTAY,NA,q73c cannot stay asleep in last 4 wks (s7),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
412,,Whitehall,FSLPNAP,NA,q57a sleep- nap during day (s11),['Daytime Sleepiness'],['No Specific Test']
414,,Whitehall,DSLPNAP,NA,q58a sleep- nap during day (s12),['Daytime Sleepiness'],['No Specific Test']
415,,Whitehall,KSLPSTAY,NA,q73c last mth- cannot stay asleep (s8),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
416,,Whitehall,TSYMSLP,NA,q3.8d menopausal sleep disturb (s5),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
422,,Whitehall,JSLPSTAY,NA,q56c last mth- cannot stay asleep (s9),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
424,,Whitehall,SYMSLP,NA,q36d suffer menopausal sleep disturbance (s1),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
432,,Whitehall,TSLPSTAY,NA,q2.64c cannot stay asleep (s5),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
450,,Whitehall,DSLPSTAY,NA,q57c last mth- cannot stay asleep (s12),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
453,,Whitehall,FSLPSTAY,NA,q56c last mth- cannot stay asleep (s11),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
454,,Whitehall,JSLDRIVE,NA,q64 fallen asleep whilst driving (s9),['Daytime Sleepiness'],['No Specific Test']
521,,Whitehall,JSNORHOW,NA,q58 snoring description (s9),['Sleep Disorders'],['No Specific Test']
539,,Whitehall,FSLPNAPL,NA,q57c sleep - length of nap during day (s11),"['Sleep Duration', 'Daytime Sleepiness']",['No Specific Test']
541,,Whitehall,DSLPNAPL,NA,q58c sleep - length of nap during day (s12),"['Sleep Duration', 'Daytime Sleepiness']",['No Specific Test']
544,,Whitehall,MSLEEP,NA,q72 week-night average hours of sleep (s7),['Sleep Duration'],['No Specific Test']
579,,Whitehall,FSLPNAPF,NA,q57b sleep - frecuency nap during day (s11),['Daytime Sleepiness'],['No Specific Test']
580,,Whitehall,DSLPNAPF,NA,q58b sleep - frecuency nap during day (s12),['Daytime Sleepiness'],['No Specific Test']
661,,Whitehall,FALCINC4,NA,q73b increased alc: get to sleep (s11),"['Sleep Medications and Aids', 'Alcohol Related']",['No Specific Test']
662,,Whitehall,JDPN11,NA,q101k cesd q11- sleep (s9),['Uncategorized'],['CESD']
668,,Whitehall,TSLEEP,how many hours sleep do you have on an average week night?,q2.63 hrs sleep on avg week night (s5),['Sleep Duration'],['No Specific Test']
743,,Whitehall,MSLPWAKS,NA,q73b wake up several times in last 4 wks (s7),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
744,,Whitehall,KSLPWAKS,NA,q73b last mth- wake several times (s8),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
745,,Whitehall,JSLPWAKS,NA,q56b last mth- wake several times (s9),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
746,,Whitehall,TSLPWAKS,NA,q2.64b wake several times (s5),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
747,,Whitehall,DSLPWAKS,NA,q57b last mth- wake several times (s12),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
748,,Whitehall,MSLPWAKT,NA,q73d wake as usual but tired in last 4 wks (s7),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
749,,Whitehall,FSLPWAKS,NA,q56b last mth- wake several times (s11),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
750,,Whitehall,KSLPWAKT,NA,q73d last mth- wake as usual but tired (s8),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
751,,Whitehall,JSLPWAKT,NA,q56d last mth- wake as usual but tired (,"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
752,,Whitehall,FSLPWAKT,NA,q56d last mth- wake as usual but tired (s11),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
753,,Whitehall,DSLPWAKT,NA,q57d last mth- wake as usual but tired (s12),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
754,,Whitehall,TSLPWAKT,NA,q2.64d wake as usual but tired (s5),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
,,,,,,,
ADDITIONAL Variables,,,,,,,
,,,,,,,
,,Cam-CAN,hours_slept, 'how many hours of actual sleep did you get at night?' ,,,
,,Cam-CAN,sleep efficiency ,,,,
,,Cam-CAN, psqi,,,,
,,,,,,,
,,EPIC,INSOMNIA_YEAR_FU3,NA,insomnia requiring treatment: first date (year) (fu2),,
,,EPIC,INSOMNIA_FU3,NA,other: insomnia requiring treatment (fu3),,
,,,,,,,
,,GS:SFHS,work_bed_hours,how many hours a day do you usually spend in bed on work days?',,,
,,GS:SFHS,non_work_bed_hours,how many hours a day do you usually spend in bed on non-work days?',,,
