"","fdd_var","From","To","cohort","Similarity","is_duplicate","master_id"
"206","v215_w1","proxy answered eating habits and sleep sections?","Sleep Answer","CFASII",0.506,TRUE,"461"
"207","psqimeds14x","psqi: needs medications to sleep","taking medication to help sleep","MRC",0.456,FALSE,"542"
"208","psqislpqual14x","psqi: overall sleep quality","Overall Sleep Quality Rating","MRC",0.687,FALSE,"247"
"209","psqidistb14x","psqi: sleep disturbance","Sleep disturbances","MRC",0.762,FALSE,"121"
"210","psqidurat14x","psqi: sleep duration","Duration of sleep","MRC",0.667,FALSE,"264"
"211","psqihse14x","psqi: sleep efficiency","Sleep Efficiency","MRC",0.79,FALSE,"89"
"212","psqilaten14x","psqi: sleep latency","Sleep latency test","MRC",0.618,FALSE,"334"
"213","JDPN11","q101k cesd q11- sleep (s9)","Sleep","Whitehall",0.356,FALSE,"662"
"214","XSYMP11","q15k difficulty sleeping in last 14 dys? (s3)","Difficulty sleeping","Whitehall",0.736,FALSE,"163"
"215","ZSYMP11","q17k difficulty sleeping last 14 days? (s2)","Difficulty sleeping","Whitehall",0.742,FALSE,"159"
"216","SYMP11","q19k difficulty sleeping in last 14 days (s1)","Difficulty sleeping","Whitehall",0.74,FALSE,"161"
"217","TGHQ02","q2.34 recently lost sleep by worry (s5)","Sleep loss","Whitehall",0.368,FALSE,"658"
"218","TSLEEP","q2.63 hrs sleep on avg week night (s5)","Light sleep","Whitehall",0.35,FALSE,"668"
"219","TSLPFALL","q2.64a trouble falling asleep (s5)","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.597,FALSE,"346"
"220","TSLPWAKS","q2.64b wake several times (s5)","lower back pain after sleeping on back several hours","Whitehall",0.21,FALSE,"746"
"221","TSLPSTAY","q2.64c cannot stay asleep (s5)","Cannot sleep at all","Whitehall",0.527,FALSE,"432"
"222","TSLPWAKT","q2.64d wake as usual but tired (s5)","Wake After Sleep Onset","Whitehall",0.18,FALSE,"754"
"223","FGHQ02","q23 lost sleep by worry (s11)","Sleep loss","Whitehall",0.446,FALSE,"549"
"224","DGHQ02","q23 lost sleep by worry (s12)","Sleep loss","Whitehall",0.444,FALSE,"551"
"225","QGHQ02","q23 recently lost sleep by worry (s6)","Sleep loss","Whitehall",0.415,FALSE,"595"
"226","JGHQ02","q25 lost sleep by worry (s9)","Sleep loss","Whitehall",0.478,FALSE,"513"
"227","VSYMSLP","q26d suffer menop sleep disturbance? (s4)","Sleep disturbances","Whitehall",0.614,FALSE,"337"
"228","XSYMSLP","q29d suffer menop sleep disturbance? (s3)","Sleep disturbances","Whitehall",0.605,FALSE,"340"
"229","TSYMSLP","q3.8d menopausal sleep disturb (s5)","Menopause Plus Sleep KIT","Whitehall",0.545,FALSE,"416"
"230","SLEEP","q31 hours of sleep on average week night (s1)","Shortened sleep cycle (average 5.7 hours per night)","Whitehall",0.562,FALSE,"396"
"231","SYMSLP","q36d suffer menopausal sleep disturbance (s1)","Sleep disturbances","Whitehall",0.533,FALSE,"424"
"232","KGHQ02","q42 lost sleep by worry (s8)","Sleep loss","Whitehall",0.47,FALSE,"525"
"233","MGHQ02","q42 recently lost sleep due to worry (s7)","Sleep loss","Whitehall",0.386,FALSE,"636"
"234","ZGHQ02","q54 recent lost much sleep? (s2)","Sleep loss","Whitehall",0.491,FALSE,"503"
"235","FSLEEP","q55 hours sleep on avg wk-night (s11)","hours of sleep","Whitehall",0.442,FALSE,"560"
"236","JSLEEP","q55 hours sleep on avg wk-night (s9)","hours of sleep","Whitehall",0.463,FALSE,"538"
"237","DSLEEP","q56 hours sleep on avg wk-night (s12)","hours of sleep","Whitehall",0.444,FALSE,"550"
"238","JSLPFALL","q56a last mth- trouble falling asleep (s","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.627,FALSE,"326"
"239","FSLPFALL","q56a last mth- trouble falling asleep (s11)","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.604,FALSE,"342"
"240","FSLPWAKS","q56b last mth- wake several times (s11)","lower back pain after sleeping on back several hours","Whitehall",0.202,FALSE,"749"
"241","JSLPWAKS","q56b last mth- wake several times (s9)","lower back pain after sleeping on back several hours","Whitehall",0.212,FALSE,"745"
"242","FSLPSTAY","q56c last mth- cannot stay asleep (s11)","Cannot sleep at all","Whitehall",0.513,FALSE,"453"
"243","JSLPSTAY","q56c last mth- cannot stay asleep (s9)","Cannot sleep at all","Whitehall",0.536,FALSE,"422"
"244","JSLPWAKT","q56d last mth- wake as usual but tired (","I wake up at least once a night, but I go back to sleep easily","Whitehall",0.196,FALSE,"751"
"245","FSLPWAKT","q56d last mth- wake as usual but tired (s11)","I wake up at least once a night, but I go back to sleep easily","Whitehall",0.187,FALSE,"752"
"246","FSLPDIST","q56e last mth- disturbed sleep (s11)","Stress disturbed my sleep in past 7D","Whitehall",0.627,FALSE,"325"
"247","JSLPDIST","q56e last mth- disturbed sleep (s9)","Stress disturbed my sleep in past 7D","Whitehall",0.654,FALSE,"299"
"248","DSLPFALL","q57a last mth- trouble falling asleep (s12)","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.607,FALSE,"339"
"249","FSLPNAP","q57a sleep- nap during day (s11)","During sleep","Whitehall",0.55,FALSE,"412"
"250","DSLPWAKS","q57b last mth- wake several times (s12)","lower back pain after sleeping on back several hours","Whitehall",0.203,FALSE,"747"
"251","FSLPNAPF","q57b sleep - frecuency nap during day (s11)","During sleep","Whitehall",0.431,FALSE,"579"
"252","DSLPSTAY","q57c last mth- cannot stay asleep (s12)","Cannot sleep at all","Whitehall",0.515,FALSE,"450"
"253","FSLPNAPL","q57c sleep - length of nap during day (s11)","During sleep","Whitehall",0.458,FALSE,"539"
"254","DSLPWAKT","q57d last mth- wake as usual but tired (s12)","I wake up at least once a night, but I go back to sleep easily","Whitehall",0.187,FALSE,"753"
"255","DSLPDIST","q57e last mth- disturbed sleep (s12)","Stress disturbed my sleep in past 7D","Whitehall",0.622,FALSE,"327"
"256","JSNORHOW","q58 snoring description (s9)","Use Sedative or Sleeping Medication Not as Prescribed or Without a Prescription","Whitehall",0.473,FALSE,"521"
"257","DSLPNAP","q58a sleep- nap during day (s12)","During sleep","Whitehall",0.548,FALSE,"414"
"258","DSLPNAPF","q58b sleep - frecuency nap during day (s12)","During sleep","Whitehall",0.429,FALSE,"580"
"259","DSLPNAPL","q58c sleep - length of nap during day (s12)","During sleep","Whitehall",0.457,FALSE,"541"
"260","JSLBRPAU","q61 breathing pauses during sleep (s9)","Pediatric home monitoring of breathing pauses during sleep, including breathing and heart rate, physician review and interpretation, 30-day time period","Whitehall",0.533,FALSE,"425"
"261","JSLDRIVE","q64 fallen asleep whilst driving (s9)","Sleep driving","Whitehall",0.513,FALSE,"454"
"262","KSLEEP","q72 hours sleep on avg wk-night (s8)","hours of sleep","Whitehall",0.469,FALSE,"528"
"263","MSLEEP","q72 week-night average hours of sleep (s7)","Shortened sleep cycle (average 5.7 hours per night)","Whitehall",0.454,FALSE,"544"
"264","KSLPFALL","q73a last mth- trouble falling asleep (s","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.632,FALSE,"317"
"265","MSLPFALL","q73a trouble falling asleep in last 4 wks (s7)","Trouble falling or staying asleep, or sleeping too much in last 2W","Whitehall",0.64,FALSE,"306"
"266","FALCINC4","q73b increased alc: get to sleep (s11)","Decreased need for sleep","Whitehall",0.366,FALSE,"661"
"267","KSLPWAKS","q73b last mth- wake several times (s8)","lower back pain after sleeping on back several hours","Whitehall",0.215,FALSE,"744"
"268","MSLPWAKS","q73b wake up several times in last 4 wks (s7)","lower back pain after sleeping on back several hours","Whitehall",0.218,FALSE,"743"
"269","MSLPSTAY","q73c cannot stay asleep in last 4 wks (s7)","Cannot sleep at all","Whitehall",0.555,FALSE,"407"
"270","XWKSLEEP","q73c hours/day sleep (s3)","hours of sleep","Whitehall",0.523,FALSE,"437"
"271","KSLPSTAY","q73c last mth- cannot stay asleep (s8)","Cannot sleep at all","Whitehall",0.547,FALSE,"415"
"272","KSLPWAKT","q73d last mth- wake as usual but tired (s8)","I wake up at least once a night, but I go back to sleep easily","Whitehall",0.199,FALSE,"750"
"273","MSLPWAKT","q73d wake as usual but tired in last 4 wks (s7)","I wake up at least once a night, but I go back to sleep easily","Whitehall",0.203,FALSE,"748"
"274","MSLPDIST","q73e disturbed/restless sleep in last 4 wks (s7)","Distressed by Sleep that is Restless and Disturbed","Whitehall",0.657,FALSE,"269"
"275","KSLPDIST","q73e last mth- disturbed sleep (s8)","Stress disturbed my sleep in past 7D","Whitehall",0.659,FALSE,"268"
"276","MSYMP11","q74k difficulty sleeping in last 2 wks (s7)","Difficulty sleeping","Whitehall",0.733,FALSE,"164"
"277","MSYMSLP","q79d do you experience sleep disturbance (s7)","Sleep disturbances","Whitehall",0.661,FALSE,"267"
"278","GHQ02","q81 recently lost much sleep (s1)","Sleep loss","Whitehall",0.433,FALSE,"577"
"279","XGHQ02","q88 recently lost much sleep? (s3)","Sleep loss","Whitehall",0.428,FALSE,"582"
"280","r1sleepr","r1sleepr:w1 r cesd: sleep was restless (0,1)","Restless sleep","ELSA",0.632,FALSE,"311"
"281","r2sleepr","r2sleepr:w2 r cesd: sleep was restless (0,1)","Restless sleep","ELSA",0.632,FALSE,"312"
"282","r3sleepr","r3sleepr:w3 r cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.632,FALSE,"313"
"283","r4sleepr","r4sleepr:w4 r cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.631,FALSE,"318"
"284","r5sleepr","r5sleepr:w5 r cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.629,FALSE,"320"
"285","r6sleepr","r6sleepr:w6 r cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.628,FALSE,"323"
"286","r7sleepr","r7sleepr:w7 r cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.633,FALSE,"309"
"287","v207_w1","rate sleep interrupted during the night most nights for at least two weeks","Sleep during the night in past 7D","CFASII",0.53,TRUE,"429"
"288","v120a_s0","rate: who answered sleep section?","Sleep Answer","CFAS",0.686,TRUE,"248"
"289","v116_c12","rating: has insomnia","Initial insomnia","CFAS",0.707,TRUE,"193"
"290","v120_c12","rating: wakes early by 2 hrs","Does your child wake up early in the morning and have difficulty going back to sleep","CFAS",0.296,TRUE,"723"
"291","RTNM_Inc_Sleep","reactions to new medications - increased sleepiness","Concern About Your Use of Sedative or Sleeping Medication","AMPLE",0.413,FALSE,"596"
"292","v102_h6","s difficulty sleeping at beginning?","Difficulty sleeping","CFAS",0.754,TRUE,"140"
"293","v132_h1","s difficulty sleeping at beginning?","Difficulty sleeping","CFASII",0.754,TRUE,"147"
"294","v64_h6","s has difficulty getting to sleep?","In the past Y, have you had difficulty getting to sleep","CFAS",0.855,TRUE,"66"
"295","v66_h6","s restless at night?","Sleep is Restless","CFAS",0.76,TRUE,"122"
"296","v89_h1","s restless at night?","Sleep is Restless","CFASII",0.76,TRUE,"129"
"297","v65_h6","s wake early in morning?","Does your child wake up early in the morning and have difficulty going back to sleep","CFAS",0.569,TRUE,"373"
"298","v90_h1","s wake early in morning?","Does your child wake up early in the morning and have difficulty going back to sleep","CFASII",0.569,TRUE,"380"
"299","v64_h2","s. has difficulty in sleeping?","Difficulty sleeping","CFAS",0.96,TRUE,"2"
"300","v65_h2","s. restless/wakeful at night?","wakefulness and sleep","CFAS",0.465,TRUE,"532"
"301","v66_h2","s. wake early in morning?","Does your child wake up early in the morning and have difficulty going back to sleep","CFAS",0.569,TRUE,"369"
"302","s1sleepr","s1sleepr:w1 s cesd: sleep was restless (0,1)","Restless sleep","ELSA",0.632,FALSE,"314"
"303","s2sleepr","s2sleepr:w2 s cesd: sleep was restless (0,1)","Restless sleep","ELSA",0.632,FALSE,"315"
"304","s3sleepr","s3sleepr:w3 s cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.632,FALSE,"316"
"305","s4sleepr","s4sleepr:w4 s cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.631,FALSE,"319"
"306","s5sleepr","s5sleepr:w5 s cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.629,FALSE,"321"
"307","s6sleepr","s6sleepr:w6 s cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.628,FALSE,"324"
"308","s7sleepr","s7sleepr:w7 s cesd: sleep was restless (0,1)","Sleep is Restless","ELSA",0.633,FALSE,"310"
"309","INSOMNIA_1HC","self reported insomnia requiring treatment (1hc hlqs)","Initial insomnia","EPIC",0.393,FALSE,"629"
"310","INSOMNIA_AGE_1HC","self-reported age first diagnosed for insomnia (requiring treatment)(1hc hlqs)","Initial insomnia","EPIC",0.316,FALSE,"712"
"311","sleepu1_v2","sleep","Sleep","MRC",1,FALSE,"1"
"312","slesk","sleep been disturbed by itching or scratching","Stress disturbed my sleep in past 7D","ELSA",0.498,FALSE,"494"
"313","SD_Acting_Dream","sleep disorders - acting out dreams","Sleep Disorders","AMPLE",0.691,FALSE,"211"
"314","SD_Cried_Out","sleep disorders - cried out during sleep","Sleep Disorders","AMPLE",0.765,FALSE,"113"
"315","SD_Ex_Sleep","sleep disorders - excessive daytime sleepiness","Excessive daytime sleepiness - normal night sleep","AMPLE",0.829,FALSE,"82"
"316","SD_Insomnia","sleep disorders - insomnia","sleep disorder; insomnia type","AMPLE",0.938,FALSE,"11"
"317","SD_Arm_Leg","sleep disorders - involuntary movements of arms and legs","involuntary movements during sleep","AMPLE",0.703,FALSE,"207"
"318","SD_RLS","sleep disorders - restless legs syndrome","restless sleep disorder","AMPLE",0.7,FALSE,"208"
"319","SD_TLOC","sleep disorders - transient loss of consciousness","Sleep Disorders","AMPLE",0.497,FALSE,"495"
"320","SD_Nightmare","sleep disorders - troubled by nightmares","nightmare disorder with associated other sleep disorder","AMPLE",0.688,FALSE,"216"
"321","SD_Vivid_Dream","sleep disorders - troubled by vivid dreams","Sleep Disorders","AMPLE",0.56,FALSE,"400"
"322","actshr0610","sleep hr (beats/min)","Sleep","MRC",0.385,FALSE,"638"
"323","actstshr0610","sleep hr (beats/min) [value used for step test analysis]","Sleep Paralysis","MRC",0.466,FALSE,"531"
"324","v206_w1","sleep interrupted during the night?","Sleep-interrupting","CFASII",0.689,TRUE,"212"
"325","v89_a0","sleep interrupted?","Sleep-interrupting","CFAS",0.787,TRUE,"90"
"326","heslpx","sleep: frequency doze off/nap in morning or afternoon","When you do doze off during the D and take a nap, do you find this sleep refreshing","ELSA",0.368,FALSE,"657"
"327","heslpd","sleep: frequency wake up feeling tired & worn out","Trouble falling or staying asleep, or sleeping too much in last 2W.frequency","ELSA",0.406,FALSE,"621"
"328","heslpb","sleep: frequency wake up several times at night","NPI - Sleep and Nighttime Behavior Disorders Frequency","ELSA",0.476,FALSE,"516"
"329","heslpa","sleep: how often respondent has difficulty falling asleep","How Often Difficulty Sleeping","ELSA",0.698,FALSE,"209"
"330","heslpc","sleep: no days trouble staying asleep in last month","Trouble falling or staying asleep, or sleeping too much in last 2W","ELSA",0.765,FALSE,"115"
"331","heslpc","sleep: no. days trouble staying asleep in last month","Trouble falling or staying asleep, or sleeping too much in last 2W","ELSA",0.765,FALSE,"114"
"332","heslpe","sleep: number of hours on average week night","Shortened sleep cycle (average 5.7 hours per night)","ELSA",0.559,FALSE,"403"
"333","heslpf","sleep: rating sleep quality overall","Overall Sleep Quality Rating","ELSA",0.953,FALSE,"9"
"334","v103_h6","sleeping a problem now?","Problem with Sleep","CFAS",0.708,TRUE,"175"
"335","v133_h1","sleeping a problem now?","Problem with Sleep","CFASII",0.708,TRUE,"182"
"336","SLEEP_PROBS_FU3","symptoms at the time of menopause: difficulty in sleeping (women only) (fu3)","Has your difficulty with sleeping occurred or worsened during menopause","EPIC",0.551,FALSE,"410"
"337","v231_h2","take alcohol to sleep?","ALCOHOL USE FOR SLEEP","CFAS",0.87,TRUE,"37"
"338","v310_h1","take alcohol to sleep?","ALCOHOL USE FOR SLEEP","CFASII",0.87,TRUE,"48"
"339","v85_a0","taken anything to help sleep?","Take Medicine to Help Sleep","CFAS",0.443,TRUE,"553"
"340","v114_c12","taken anything to help you sleep?","Take Medicine to Help Sleep","CFAS",0.437,TRUE,"562"
"341","sctsyp","time respondent went to sleep yesterday (am/pm)","When I was in pain I went to sleep in past 7D","ELSA",0.351,FALSE,"667"
"342","sctsyh","time respondent went to sleep yesterday (hours)","hours of sleep","ELSA",0.466,FALSE,"530"
"343","sctsym","time respondent went to sleep yesterday (minutes)","sleep response test","ELSA",0.413,FALSE,"597"
"344","EPAQ_035","time spent sedentary, excluding sleep [hrs/d]","Study of sleep patterns, including sleep time","CamCAN",0.392,FALSE,"630"
"345","TotalMinutesSleepDaily","total minutes sleep daily","Total Sleep Time","NICOLA",0.478,FALSE,"512"
"346","Q83m","trouble falling or staying asleep","Trouble falling or staying asleep, or sleeping too much in last 2W","NICOLA",0.88,FALSE,"36"
"347","pse3582","trouble getting off to sleep in past month","Have a Lot of Trouble Getting to Sleep","MRC",0.763,FALSE,"117"
"348","v84_a0","trouble sleeping?","Trouble sleeping in past 4W","CFAS",0.957,TRUE,"6"
"349","slcna","trouble with sleep","Trouble sleeping in past 4W","MRC",0.763,TRUE,"118"
"350","QSSLBD_Nightmare","troubled by nightmares","Nightmares, REM-sleep type","AMPLE",0.55,FALSE,"411"
"351","QSSLBD_Dreams","troubled by vivid dreams?","Trouble Sleeping, Having Bad Dreams","AMPLE",0.576,FALSE,"360"
"352","slct","type of sleep complaints","patient complaints: interrupted sleep","MRC",0.565,FALSE,"391"
"353","v118_s0","type of sleep problem?","Problem with Sleep","CFAS",0.785,TRUE,"103"
"354","v118_s2","type of sleeping problem","Problem with Sleep","CFAS",0.683,FALSE,"251"
"355","slcta","type of trouble with sleep","Trouble sleeping in past 4W","MRC",0.693,FALSE,"210"
"356","sprob77","types of trouble with sleep. if 2 types noted, code both, eg trouble 1 'difficulty getting to sleep' and 2 'waking up in the night' = 12","Have a Lot of Trouble Getting to Sleep","MRC",0.603,FALSE,"343"
"357","v157_a0","vision when you are wide awake?","Pet Sleeps More, Is Awake Less","CFAS",0.349,TRUE,"669"
"358","Vivid_Comm","vivid dreams comments","involuntary movements during sleep with vivid dream recall","AMPLE",0.443,FALSE,"552"
"359","Vivid_Ever","vivid dreams ever","involuntary movements during sleep with vivid dream recall","AMPLE",0.425,FALSE,"586"
"360","v90_a0","wake up early?","Early sleep onset","CFAS",0.426,TRUE,"584"
"361","v208_w1","waking up early in the morning","Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning","CFASII",0.619,TRUE,"330"
"362","v257_w1","was it when you were wide awake?","Pet Sleeps More, Is Awake Less","CFASII",0.374,TRUE,"653"
"363","sctsyp","what time did you go to sleep yesteday? am or pm","Total Sleep Time","ELSA",0.416,FALSE,"592"
"364","sctsyh","what time did you go to sleep yesteday? hours","hours of sleep","ELSA",0.543,FALSE,"418"
"365","sctsym","what time did you go to sleep yesteday? minutes","Mean sleep latency is less than 5 to 8 minutes","ELSA",0.408,FALSE,"616"
"366","sctwap","what time did you wake up yesterday? am or pm","Thinking about your recent sleep pattern: I wake up at the same time","ELSA",0.265,FALSE,"740"
"367","sctwuh","what time did you wake up yesterday? hours","Thinking about your recent sleep pattern: I wake up at the same time","ELSA",0.276,FALSE,"739"
"368","sctwum","what time did you wake up yesterday? minutes","Mean sleep latency is less than 5 to 8 minutes","ELSA",0.281,FALSE,"738"
"369","v92_a0","what wakes you up?","Wake After Sleep Onset","CFAS",0.318,TRUE,"682"
"370","v210_w1","what wakes you up?","Wake After Sleep Onset","CFASII",0.318,TRUE,"695"
"371","v167_c12","when you are wide awake?","Pet Sleeps More, Is Awake Less","CFAS",0.412,TRUE,"600"
"372","pscedc","whether felt their sleep was restless during past week","My sleep was restless in past 7D","ELSA",0.639,TRUE,"307"
"373","scghqb","whether recently lost much sleep over worry","Sleep loss","ELSA",0.378,FALSE,"649"
"374","PScedC","whether respondent felt their sleep was restless during the past week","My sleep was restless in past 7D","ELSA",0.597,FALSE,"345"
"375","v120a_s2","who answered memory/sleep section?","Sleep Answer","CFAS",0.532,FALSE,"426"
"376","X17SleepDis","x17sleepdis","Sleep-Disordered Breathing","SMC",0.424,FALSE,"587"
