,fdd_var,fdd_desc,cohort
6150,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q63] The value of: Improving your health by eating dairy produce ,caps
6151,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q64] The value of: Improving your health by eating wholemeal bread ,caps
6152,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q65] The value of: Reducing your risk of a heart attack by eating vegetables ,caps
6153,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q66] The value of: Reducing your risk of a heart attack throught exercise ,caps
6154,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q67] The value of: Reducing your risk of a heart attack by eating wholemeal bread ,caps
6155,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q68] Fear of: Harming your health through smoking ,caps
6156,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q69] Fear of: Harming your health by eating fried food ,caps
6157,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q7] Will eating dairy produce improve your health? ,caps
6158,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q70] Fear of: Increasing your risk of a heart attack through smoking ,caps
6159,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q71] Fear of: Increasing your risk of a heart attack by eating fried food ,caps
6160,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q72] Fear of: Increasing your risk of a heart attack by eating dairy produce ,caps
6161,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q73] Fear of: Increasing your risk of a heart attack by working hard to meet deadlines ,caps
6162,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q74] Fear of: Increasing your risk of a heart attack by getting worked up and angry ,caps
6163,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q75] Fear of: Increasing your risk of a heart attack by being very competitive ,caps
6164,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q76] How much do you generally like to do what your wife or closest friend says ,caps
6165,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q8] Is dairy produce generally convenient to eat? ,caps
6166,T0458 C2 General health and Health attitude quests,[C2 Health Attitude Quest q9] Does dairy produce contain a lot of fat? ,caps
6167,T0458 C2 General health and Health attitude quests,[C2 General Health q26] Have you recently been feeling hopeful about your own future? ,caps
6168,T0458 C2 General health and Health attitude quests,[C2 General Health q25] Have you recently felt that life is entirely hopeless? ,caps
6169,T0458 C2 General health and Health attitude quests,[C2 General Health q16] Have you recently been finding life a struggle all the time? ,caps
6170,T0458 C2 General health and Health attitude quests,[C2 General Health q29] Have you recently felt that life isn’t worth living? ,caps
6171,T0458 C2 General health and Health attitude quests,[C2 General Health q23] Have you recently been losing confidence in yourself? ,caps
6172,T0458 C2 General health and Health attitude quests,[C2 General Health q2] Have you recently lost much sleep over worry? ,caps
6173,T0458 C2 General health and Health attitude quests,[C2 General Health q5] Have you recently been getting out of the house as much as usual? ,caps
6174,T0458 C2 General health and Health attitude quests,[C2 General Health q15] Have you recently felt you could not overcome your difficulties? ,caps
6175,T0458 C2 General health and Health attitude quests,[C2 General Health q19] Have you recently been getting scared or panicky for no good reason? ,caps
6176,T0458 C2 General health and Health attitude quests,"[C2 General Health q27] Have you recently been feeling reasonably happy, all things considered? ",caps
6177,T0458 C2 General health and Health attitude quests,[C2 General Health q3] Have you recently been having restless disturbed nights? ,caps
6178,T0458 C2 General health and Health attitude quests,[C2 General Health q28] Have you recently been feeling nervous and strung-up all the time? ,caps
6179,T0458 C2 General health and Health attitude quests,[id] The Unique number allocated to each subject in the study,caps
6180,T0458 C2 General health and Health attitude quests,[C2 General Health q18] Have you recently been taking things hard? ,caps
6181,T0458 C2 General health and Health attitude quests,[C2 General Health q8] Have you recently been satisfied with the way you’ve carried out your task? ,caps
6182,T0458 C2 General health and Health attitude quests,[C2 General Health q14] Have you recently felt constantly under strain? ,caps
6183,T0458 C2 General health and Health attitude quests,[C2 General Health q12] Have you recently felt that you are playing a useful part in things? ,caps
6184,T0458 C2 General health and Health attitude quests,[C2 General Health q9] Have you recently been able to feel warmth and affection for those near you? ,caps
6185,T0458 C2 General health and Health attitude quests,[C2 General Health q24] Have you recently been thinking of yourself as a worthless person? ,caps
6186,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment] The date the questionnaire was filled in format DD/MM/YYYY from card A,caps
6187,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment] The card number in this case A,caps
6188,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment] The file number as recorded on card A,caps
6189,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment] Original text version of the date the questionnaire was filled in format DDMMYY from card A,caps
6190,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels] The card number in this case B,caps
6191,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels] Date of birth of the subject in format DD/MM/YYYY from card B,caps
6192,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels] The file number as recorded on card B,caps
6193,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels] The Unique number allocated to each subject in the study as recorded on card B,caps
6194,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels] Original text version of Date of birth of the subject in format DDMMYY from card B,caps
6195,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q24] Does traffic noise make concentration difficult for you? ,caps
6196,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q6] Does danger at work worry you? ,caps
6197,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q25] Does traffic noise disturb conversation or listening to the radio or television? ,caps
6198,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2b] Total duration of use(both ways) in minutes: Bus,caps
6199,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2a] Total duration of use(both ways) in minutes: Car,caps
6200,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2d] Total duration of use(both ways) in minutes: Motor cycle,caps
6201,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2c] Total duration of use(both ways) in minutes: Train,caps
6202,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2f] Total duration of use(both ways) in minutes: Walking,caps
6203,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q11] Do you wear ear protectors at work? ,caps
6204,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q22] Do you have any hearing difficulties? ,caps
6205,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q18] Does your bedroom face the road? ,caps
6206,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q15] Does danger through traffic at home worry you? ,caps
6207,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q20] On average how many hours a day do you spend in this living room?,caps
6208,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q17] Does the living room where you spend most time face the road? ,caps
6209,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q16] Does your home look onto: ,caps
6210,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q21] How many months a year do you sleep with your bedroom window open? ,caps
6211,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q14] Does traffic noise at home annoy you? ,caps
6212,T0459 C2 Home and Work Environment and Noise levels quests,"[C2 Home & Work Environment q19] When you are in the living room where you spend most time, how many months of the year do you keep a window open? ",caps
6213,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q12] Which of the following noise sources describe best how loud it is at work? ,caps
6214,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q1] How long does it take you to travel to and from work in minutes?,caps
6215,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q4b1] Month: If not employed when did you finish your last job?,caps
6216,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q4a1] Month: If not employed when did you start your last job?,caps
6217,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q3a] Month: If employed when did you start your job?,caps
6218,T0459 C2 Home and Work Environment and Noise levels quests,"[C2 Home & Work Environment q10] Do you work near noisy machines, engines or tools? ",caps
6219,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q5] Does noise at work annoy you? ,caps
6220,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q7] How much noise do you have at work? ,caps
6221,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q23] Do you think that you are sensitive to noise? ,caps
6222,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q2] Occupation. Appears to be always set to 9,caps
6223,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q8] At work do you have to raise your voice to be heard 3 feet away? ,caps
6224,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q26] Does traffic noise make relaxation difficult for you? ,caps
6225,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q28] Does traffic noise make it difficult for you to fall asleep? ,caps
6226,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q1] Employment status ,caps
6227,T0459 C2 Home and Work Environment and Noise levels quests,[id] The Unique number allocated to each subject in the study,caps
6228,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q27] Does traffic noise make you nervous or tense? ,caps
6229,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q2e] Total duration of use(both ways) in minutes: Bicycle,caps
6230,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Noise Levels q3] If you walk or ride a bicycle to work do you mainly come along busy roads or side streets? ,caps
6231,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q29] Does traffic noise wake you up? ,caps
6232,T0459 C2 Home and Work Environment and Noise levels quests,"[C2 Home & Work Environment q9] Do you work with noisy machines, engines or tools? ",caps
6233,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q13] When did you move into your home(2 digit year)?,caps
6234,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q4b2] Year(2 digit): If not employed when did you finish your last job?,caps
6235,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q4a2] Year(2 digit): If not employed when did you start your last job?,caps
6236,T0459 C2 Home and Work Environment and Noise levels quests,[C2 Home & Work Environment q3b] Year(2 digit): If employed when did you start your job?,caps
6237,T0460 C2 Noise exposure history,[C2 Noise Exposure] The card number in this case V,caps
6238,T0460 C2 Noise exposure history,[C2 Noise Exposure]  Date of birth of the subject in format DD/MM/YYYY from card V,caps
6239,T0460 C2 Noise exposure history,[C2 Noise Exposure] The file number as recorded on card V,caps
6240,T0460 C2 Noise exposure history,[C2 Noise Exposure] Original text version of Date of birth of the subject in format DDMMYY from card V,caps
6241,T0460 C2 Noise exposure history,[C2 Noise Exposure q5] Have you been close to the firing of a large gun or explosion? ,caps
6242,T0460 C2 Noise exposure history,[C2 Noise Exposure q2] What has been your noisest occupation? coding unknown. PMS does not know???,caps
6243,T0460 C2 Noise exposure history,[C2 Noise Exposure q4] During your lifetime have you fired more than a total of 10 rounds from shotgun or military rifle? ,caps
6244,T0460 C2 Noise exposure history,[C2 Noise Exposure q1] How long altogether have you worked in noisy places where you had to shout to be heard? ,caps
6245,T0460 C2 Noise exposure history,[id] The Unique number allocated to each subject in the study,caps
6246,T0460 C2 Noise exposure history,[C2 Noise Exposure q3] For how many years were you employed in this occupation?,caps
6247,T0461 C2 Medications,[C2 Medications] The card number in this case Y,caps
6248,T0461 C2 Medications,[C2 Medications] The file number as recorded on card Y,caps
6249,T0461 C2 Medications,[C2 Medications] The code of the 1st medication. See T0429 for list of medication codes.,caps
6250,T0461 C2 Medications,[C2 Medications] The code of the 10th medication. See T0429 for list of medication codes.,caps
6251,T0461 C2 Medications,[C2 Medications] The code of the 11th medication. See T0429 for list of medication codes.,caps
6252,T0461 C2 Medications,[C2 Medications] The code of the 12th medication. See T0429 for list of medication codes.,caps
6253,T0461 C2 Medications,[C2 Medications] The code of the 13th medication. See T0429 for list of medication codes.,caps
6254,T0461 C2 Medications,[C2 Medications] The code of the 14th medication. See T0429 for list of medication codes.,caps
6255,T0461 C2 Medications,[C2 Medications] The code of the 15th medication. See T0429 for list of medication codes.,caps
6256,T0461 C2 Medications,[C2 Medications] The code of the 2nd medication. See T0429 for list of medication codes.,caps
6257,T0461 C2 Medications,[C2 Medications] The code of the 3rd medication. See T0429 for list of medication codes.,caps
6258,T0461 C2 Medications,[C2 Medications] The code of the 4th medication. See T0429 for list of medication codes.,caps
6259,T0461 C2 Medications,[C2 Medications] The code of the 5th medication. See T0429 for list of medication codes.,caps
6260,T0461 C2 Medications,[C2 Medications] The code of the 6th medication. See T0429 for list of medication codes.,caps
6261,T0461 C2 Medications,[C2 Medications] The code of the 7th medication. See T0429 for list of medication codes.,caps
6262,T0461 C2 Medications,[C2 Medications] The code of the 8th medication. See T0429 for list of medication codes.,caps
6263,T0461 C2 Medications,[C2 Medications] The code of the 9th medication. See T0429 for list of medication codes.,caps
6264,T0461 C2 Medications,[C2 Medications] The number of medications for this subject,caps
6265,T0461 C2 Medications,[id] The Unique number allocated to each subject in the study,caps
6266,T0462 C2 Lab id to surveyno conversion,The id of the subject as given to the laboratory,caps
6267,T0462 C2 Lab id to surveyno conversion,The lab to which the sample was sent to. coding unknown???,caps
6268,T0462 C2 Lab id to surveyno conversion,[id] The survey no corresponding to the lab id,caps
6269,T0463 C2 Blood taken,[C2 Blood taken] Any Frenchay tests? ,caps
6270,T0463 C2 Blood taken,[C2 Blood taken] Flag to indicate whether the subject has PRP aggregation test ,caps
6271,T0463 C2 Blood taken,[C2 Blood taken] Was the subject fasting prior to blood taken? ,caps
6272,T0463 C2 Blood taken,[C2 Blood taken] Flag to indicate best guess of whether blood was taken. Note PMS states that IS NOT PERFECT ,caps
6273,T0463 C2 Blood taken,[id] The Unique number allocated to each subject in the study,caps
6274,T0464 C2 Blood Results,[C2 Blood results] Platelet new : Assay from ???: Value1: ADP height of recovery after primary response(P) as cm (X10),caps
6275,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6276,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6277,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6278,T0464 C2 Blood Results,[C2 Blood results] Platelet new : Assay from ???: Value2: ADP height of recovery after primary response(P) as cm (X10),caps
6279,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6280,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6281,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6282,T0464 C2 Blood Results,[C2 Blood results] Platelet new : Assay from ???: Value3: ADP pattern secondary response(S) ,caps
6283,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6284,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6285,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6286,T0464 C2 Blood Results,"[C2 Blood results] Platelet new : Assay from ???: Value4: ADP pattern secondary response(S)- 1=Little P or S, 2=Marked P little S, 3=Slight S, 4=2 peaks P > S, 5=Slight P and S plateau or rising, 6=2 peaks S > P, 7=Marked P into S, 8=P and S continous,",caps
6287,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6288,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6289,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6290,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6291,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6292,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6293,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6294,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6295,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6296,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6297,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6298,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6299,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6300,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6301,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6302,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X100),caps
6303,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6304,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6305,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Albumin as g/l,caps
6306,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Alkaline phosphotase as international units per litre(IU/l),caps
6307,T0464 C2 Blood Results,[C2 Blood results] Assay from Cardiff Royal Infirmary:  Alpha2 antiplasmin units??? (X100). John Yarnell has a long standing interest.,caps
6308,T0464 C2 Blood Results,[C2 Blood results] Assay from Cardiff Royal Infirmary:  Alpha1 antitrypsin units??? (X100). John Yarnell has a long standing interest.,caps
6309,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: APC units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6310,T0464 C2 Blood Results,[C2 Blood results] Card apoa batch number ,caps
6311,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card apoa,caps
6312,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: APTT units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6313,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Aspartate as international units per litre(IU/l),caps
6314,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: Data from Dr Ubbink: Average homocysteine measurement units???.(X100)  Work done by Janet Pickering for P Elwood,caps
6315,T0464 C2 Blood Results,[C2 Blood results] Assay from Nottingham:  Ahromboxane B2 units???. John Yarnell has a long standing interest.,caps
6316,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Bicarbonate as mmol/l,caps
6317,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Bilirubin as micro mol/l,caps
6318,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: Apolipoprotein Al as mg/dl,caps
6319,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: Apolipoprotein All as mg/dl,caps
6320,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: Apolipoprotein B as mg/dl,caps
6321,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: Total cholesterol as mmol/l (X100),caps
6322,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: HDL cholesterol as mmol/l (X100),caps
6323,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: HDL triglycerides as mmol/l (X100),caps
6324,T0464 C2 Blood Results,[C2 Blood results] Assay from BRI: Total triglycerides as mmol/l (X100),caps
6325,T0464 C2 Blood Results,[C2 Blood results] The card number in this case 7,caps
6326,T0464 C2 Blood Results,[C2 Blood results] Date of birth of the subject in format DD/MM/YYYY from card 7,caps
6327,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card 7,caps
6328,T0464 C2 Blood Results,[C2 Blood results] Original text version of Date of birth of the subject in format DDMMYY from card 7,caps
6329,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Calcium as mmol/l (X100),caps
6330,T0464 C2 Blood Results,[C2 Blood results] The card number in this case C,caps
6331,T0464 C2 Blood Results,[C2 Blood results] Date of birth of the subject in format DD/MM/YYYY from card C,caps
6332,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card C,caps
6333,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card C,caps
6334,T0464 C2 Blood Results,[C2 Blood results] Original text version of Date of birth of the subject in format DDMMYY from card C,caps
6335,T0464 C2 Blood Results,[C2 Blood results] The card number in this case D,caps
6336,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card D,caps
6337,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card D,caps
6338,T0464 C2 Blood Results,[C2 Blood results] All appear to be set to 999999. Original text version of Date of birth of the subject in format DDMMYY from card D,caps
6339,T0464 C2 Blood Results,[C2 Blood results] The card number in this case H,caps
6340,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card H,caps
6341,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card H,caps
6342,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Chloride as mmol/l,caps
6343,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Cholesterol as mmol/l (X10),caps
6344,T0464 C2 Blood Results,[C2 Blood results] The card number in this case J,caps
6345,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card J,caps
6346,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card J,caps
6347,T0464 C2 Blood Results,[C2 Blood results] All appear to be to 999999. Original text version of Date of birth of the subject in format DDMMYY from card J,caps
6348,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: Clauss fibrinogen units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6349,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card magnesium,caps
6350,T0464 C2 Blood Results,[C2 Blood results] The card number in this case P,caps
6351,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card P,caps
6352,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card P,caps
6353,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card plateletnew,caps
6354,T0464 C2 Blood Results,[C2 Blood results] Date of birth of the subject in format DD/MM/YYYY from card R,caps
6355,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card R,caps
6356,T0464 C2 Blood Results,[C2 Blood results] Original text version of Date of birth of the subject in format DDMMYY from card R,caps
6357,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Creatinine as micro mol/l,caps
6358,T0464 C2 Blood Results,[C2 Blood results] Assay from Holly Hill:  Cross linked FDP (X10). John Yarnell has a long standing interest.,caps
6359,T0464 C2 Blood Results,[C2 Blood results] Assay from Glasgow RI  units mg/L.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6360,T0464 C2 Blood Results,[C2 Blood results] The card number in this case S,caps
6361,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card S,caps
6362,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card S,caps
6363,T0464 C2 Blood Results,[C2 Blood results] The card number in this case T,caps
6364,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card T,caps
6365,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card T,caps
6366,T0464 C2 Blood Results,[C2 Blood results] The card number in this case W,caps
6367,T0464 C2 Blood Results,[C2 Blood results] Date of birth of the subject in format DD/MM/YYYY from card W,caps
6368,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card W,caps
6369,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card W,caps
6370,T0464 C2 Blood Results,[C2 Blood results] Original text version of Date of birth of the subject in format DDMMYY from card W,caps
6371,T0464 C2 Blood Results,[C2 Blood results] The card number in this case Z,caps
6372,T0464 C2 Blood Results,[C2 Blood results] The file number as recorded on card Z,caps
6373,T0464 C2 Blood Results,[C2 Blood results] The Unique number allocated to each subject in the study as recorded on card Z,caps
6374,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: FDP/D-Dimer units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6375,T0464 C2 Blood Results,"[C2 Blood results] des 31,32 poinsulin pmol/l Of interest to John Yudkin.",caps
6376,T0464 C2 Blood Results,[C2 Blood results] Resonance Thromboelastograph: Assay from ???: F amplitude of RTG in mm (X10),caps
6377,T0464 C2 Blood Results,[C2 Blood results] Resonance Thromboelastograph: Assay from ???: f fibrin time in minutes (X10),caps
6378,T0464 C2 Blood Results,[C2 Blood results] Assay from Frenchay: Fibr units???( X100),caps
6379,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: Data from Dr Ubbink: First homocysteine measurement units???.(X100)  Work done by Janet Pickering for P Elwood,caps
6380,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: Fragment 1 and 2 units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
6381,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.,caps
6382,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6383,T0464 C2 Blood Results,[C2 Blood results] Assay done by A Beswick: Whole Blood aggregation: See REF A28 for details.  Meaning of variable not obvious.(X10),caps
6384,T0464 C2 Blood Results,[C2 Blood results] Assay from UWCM Biochemistry: Gamma Glutamyl Transferase as international units per litre(IU/l),caps
6385,T0464 C2 Blood Results,[C2 Blood results] Assay from Frenchay: Glucose units???( X10),caps
6386,T0464 C2 Blood Results,[C2 Blood results] Assay from ???: D-Dimer Gold units???.  Done by Gordon Lowe and Ann Rumley. Of central interest to J Yarnell.,caps
